"Z", "K_L1", "K_L2", "K_L3", "K_M2", "K_M3", "K_M4", "K_M5", "K_N2", "K_N3", "K_N4", "K_N5", "K_O2", "K_O3", "K_O4", "K_O5", "K_P2", "K_P3", "L1_M2", "L1_M3", "L1_M4", "L1_M5", "L1_N2", "L1_N3", "L1_N4", "L1_N5", "L1_O2", "L1_O3", "L1_O4", "L1_O5", "L1_P2", "L1_P3", "L2_M1", "L2_M3", "L2_M4", "L2_N1", "L2_N3", "L2_N4", "L2_N6", "L2_O1", "L2_O3", "L2_O4", "L2_P1", "L2_P3", "L3_M1", "L3_M2", "L3_M3", "L3_M4", "L3_M5", "L3_N1", "L3_N2", "L3_N3", "L3_N4", "L3_N5", "L3_N6", "L3_N7", "L3_O1", "L3_O2", "L3_O3", "L3_O4", "L3_O5", "L3_P1", "L3_P2", "L3_P3", "M1_N2", "M1_N3", "M1_O2", "M1_O3", "M1_P2", "M1_P3", "M2_N1", "M2_N4", "M2_O1", "M2_O4", "M2_P1", "M3_N1", "M3_N4", "M3_N5", "M3_O1", "M3_O4", "M3_O5", "M3_P1", "M4_N2", "M4_N3", "M4_N6", "M4_O2", "M4_O3", "M4_P2", "M4_P3", "M5_N3", "M5_N6", "M5_N7", "M5_O3", "M5_P3", "N1_O2", "N1_O3", "N1_P2", "N1_P3", "N2_O1", "N2_O4", "N2_P1", "N3_O1", "N3_O4", "N3_O5", "N3_P1", "N4_O2", "N4_O3", "N4_P2", "N4_P3", "N5_O3", "N5_P3", "N6_O4", "N6_O5", "N7_O5", "O1_P2", "O1_P3", "O2_P1", "O3_P1"
73,, 0.276031, 0.481061, 0.0514862, 0.0994843, 0.0010784, 0.0013665, 0.011643, 0.0225561, 0.00025726, 0.00032437, 0.00263731, 0.00544342, 4.94e-06,,,, 0.02344, 0.0297879, 0.00066054, 0.0009896, 0.00572079, 0.00768129, 9.253e-05, 0.00014425, 0.00085237, 0.0011066, 1.64e-06,,,, 0.00656906, 0.00019719, 0.229549, 0.00154129, 5.064e-05, 0.0422357, 0.00010317, 0.00029259, 1.066e-05, 0.00078149,,, 0.0121621, 0.00010171, 9.249e-05, 0.0204401, 0.180451, 0.00220741, 2.103e-05, 2.065e-05, 0.00353282, 0.0316682, 1.516e-05, 8.515e-05, 0.00044327, 4.53e-06, 4.22e-06, 6.48e-05,,,,, 0.0009076, 0.00088021, 0.00020133, 0.0001892,,, 8.988e-05, 0.00047033, 1.729e-05, 9.92e-06,, 0.00057269, 0.00027643, 0.00217968, 0.00010534, 5.57e-06, 4.237e-05,, 0.00048854, 5.179e-05, 0.00333427, 0.00011137, 1.181e-05,,, 0.00100636, 0.00041891, 0.00814793, 0.00027082,, 2.155e-05, 1.216e-05,,, 3.33e-05, 4.7e-07,, 5.519e-05, 3.3e-07,,, 1.265e-05, 1.84e-06,,, 2.234e-05,,,,,,,,
74,, 0.276548, 0.480107, 0.0516247, 0.0997644, 0.00111609, 0.00140749, 0.0117459, 0.0227829, 0.0002695, 0.00033831, 0.00266968, 0.00546957, 7.68e-06,,,, 0.0226771, 0.0283871, 0.00065812, 0.00098486, 0.00556691, 0.00738562, 9.306e-05, 0.00014527, 0.00086202, 0.0011078, 2.47e-06,,,, 0.0067629, 0.00021197, 0.23939, 0.0016106, 5.488e-05, 0.044553, 0.00011747, 0.00030885, 1.142e-05, 0.0012205,,, 0.012527, 0.00010722, 9.713e-05, 0.021273, 0.1877, 0.0023379, 2.262e-05, 2.231e-05, 0.00371129, 0.0332849, 1.731e-05, 9.72e-05, 0.00047308, 4.84e-06, 4.56e-06, 0.00010166,,,,, 0.00095716, 0.00090762, 0.0002116, 0.00019639,,, 7.914e-05, 0.00041646, 1.545e-05, 1.317e-05,, 0.00061435, 0.00029763, 0.00234096, 0.00011422, 8.96e-06, 6.839e-05,, 0.00042462, 4.414e-05, 0.00328716, 9.911e-05, 1.045e-05,,, 0.00100185, 0.00047704, 0.00928626, 0.00026995,, 2.31e-05, 1.245e-05,,, 3.412e-05, 8.1e-07,, 5.762e-05, 5.6e-07,,, 1.361e-05, 1.96e-06,,, 2.397e-05,,,,,,,,
75,, 0.277291, 0.479452, 0.0518162, 0.10013, 0.00115521, 0.00144981, 0.0118591, 0.0230381, 0.00028253, 0.00035308, 0.00270201, 0.00549572, 1.126e-05, 1.347e-05,,, 0.0225049, 0.0277469, 0.00067181, 0.00100589, 0.00556097, 0.00728385, 9.598e-05, 0.00015012, 0.00089171, 0.00113359, 3.62e-06, 5.48e-06,,, 0.00695902, 0.00022794, 0.249727, 0.00168178, 5.954e-05, 0.0470355, 0.00013319, 0.00032573, 1.223e-05, 0.00180548,,, 0.012925, 0.00011355, 0.00010281, 0.0220981, 0.194931, 0.00247281, 2.429e-05, 2.403e-05, 0.00388941, 0.0349331, 1.963e-05, 0.00011016, 0.00050435, 5.16e-06, 4.92e-06, 0.00014861, 0.001272,,,, 0.00102578, 0.00094978, 0.00022585, 0.00020709,,, 8.149e-05, 0.00043083, 1.615e-05, 1.908e-05,, 0.00064174, 0.00031185, 0.00244681, 0.00012111, 1.316e-05, 0.00010004,, 0.00041511, 4.312e-05, 0.00363794, 9.917e-05, 1.04e-05,,, 0.00095373, 0.00051736, 0.0100789, 0.00025732,, 2.454e-05, 1.27e-05,,, 3.506e-05, 1.3e-06,, 6.063e-05, 8.9e-07, 4.95e-06,, 1.492e-05, 2.13e-06,,, 2.611e-05,,,,,,,,
76,, 0.27796, 0.478841, 0.0519851, 0.10048, 0.0011946, 0.0014918, 0.01197, 0.023274, 0.00029582, 0.00036795, 0.0027342, 0.00552131, 1.552e-05, 1.865e-05,,, 0.0231599, 0.0281029, 0.00071137, 0.00106509, 0.00575727, 0.00744516, 0.00010263, 0.00016081, 0.00095349, 0.00119919, 5.13e-06, 7.8e-06,,, 0.00715755, 0.00024454, 0.259988, 0.00175479, 6.444e-05, 0.0495537, 0.00015, 0.00034327, 1.309e-05, 0.00251868,,, 0.0133289, 0.00012016, 0.00010877, 0.0229258, 0.202138, 0.00261217, 2.602e-05, 2.586e-05, 0.00407416, 0.0366146, 2.213e-05, 0.00012415, 0.00053716, 5.5e-06, 5.31e-06, 0.00020627, 0.00176708,,,, 0.00108018, 0.00097596, 0.00023683, 0.00021456,,, 8.362e-05, 0.00044373, 1.683e-05, 2.613e-05,, 0.00066936, 0.00032607, 0.00255183, 0.00012825, 1.815e-05, 0.00013873,, 0.00040909, 4.193e-05, 0.00399945, 9.872e-05, 1.03e-05,,, 0.00090951, 0.00055902, 0.0108989, 0.00024531,, 2.599e-05, 1.294e-05,,, 3.607e-05, 1.97e-06,, 6.396e-05, 1.32e-06, 7.38e-06,, 1.636e-05, 2.32e-06,,, 2.852e-05,,,,,,,,
77,, 0.27873, 0.47807, 0.052138, 0.10082, 0.0012344, 0.0015332, 0.01208, 0.023525, 0.00030949, 0.00038316, 0.0027662, 0.0055462, 2.05e-05, 2.444e-05,,, 0.025126, 0.029997, 0.0007933, 0.0011874, 0.0062803, 0.0080248, 0.00011568, 0.00018154, 0.0010587, 0.0013058, 6.98e-06, 1.067e-05,,, 0.00736658, 0.00026143, 0.269903, 0.00183212, 6.949e-05, 0.0520525, 0.00016768, 0.00036187, 1.401e-05, 0.00336594,,, 0.0137481, 0.00012713, 0.00011507, 0.0237431, 0.209331, 0.00275612, 2.782e-05, 2.777e-05, 0.00425822, 0.0383162, 2.479e-05, 0.00013896, 0.00057207, 5.86e-06, 5.72e-06, 0.00027137, 0.00233251,,,, 0.00117487, 0.00103542, 0.00025588, 0.0002291,,, 8.544e-05, 0.00045461, 1.753e-05, 3.384e-05,, 0.00069808, 0.00034061, 0.00265913, 0.00013608, 2.396e-05, 0.00018261,, 0.00040304, 4.133e-05, 0.00438851, 9.824e-05, 1.019e-05,,, 0.00087768, 0.00060066, 0.0117165, 0.00023332,, 2.76e-05, 1.322e-05,,, 3.663e-05, 2.75e-06,, 6.745e-05, 1.86e-06, 1.042e-05,, 1.801e-05, 2.52e-06,,, 3.105e-05,,,,,,,,
78,, 0.279391, 0.477361, 0.0522921, 0.10112, 0.0012745, 0.0015753, 0.012185, 0.023772, 0.00032348, 0.00039852, 0.00279851, 0.00557171, 2.592e-05, 3.08e-05,,, 0.0264019, 0.0309979, 0.00085664, 0.0012827, 0.00664049, 0.00836628, 0.00012627, 0.00019846, 0.001158, 0.0014149, 9.25e-06, 1.42e-05,,, 0.00759665, 0.000279, 0.279741, 0.00190861, 7.48e-05, 0.0545854, 0.00018662, 0.00038062, 1.495e-05, 0.00426002,,, 0.014162, 0.00013428, 0.00012151, 0.024564, 0.21649, 0.00290581, 2.968e-05, 2.975e-05, 0.00444591, 0.0400381, 2.768e-05, 0.00015513, 0.00060813, 6.23e-06, 6.16e-06, 0.00034174, 0.00295111, 2.458e-05,,, 0.0012545, 0.00107742, 0.00027228, 0.00024095,,, 8.698e-05, 0.00046372, 1.81e-05, 4.196e-05,, 0.00072513, 0.00035415, 0.00275839, 0.00014344, 3.002e-05, 0.00022905,, 0.00040052, 4.077e-05, 0.00480025, 9.759e-05, 1.008e-05,,, 0.00084588, 0.00064234, 0.0125334, 0.00022167,, 2.943e-05, 1.358e-05,,, 3.747e-05, 3.66e-06,, 6.919e-05, 2.41e-06, 1.35e-05,, 1.98e-05, 2.73e-06,,, 3.365e-05,, 1.09e-06, 7e-08, 1.52e-06,,,,
79,, 0.280091, 0.476571, 0.0524202, 0.10143, 0.0013151, 0.0016169, 0.012291, 0.0240161, 0.00033775, 0.00041417, 0.00283061, 0.00559672, 3.166e-05, 3.775e-05,,, 0.0274491, 0.0316762, 0.00091515, 0.00136981, 0.00694593, 0.00863254, 0.0001363, 0.00021463, 0.00124331, 0.00149921, 1.184e-05, 1.823e-05,,, 0.00785037, 0.00029715, 0.289469, 0.00198829, 8.035e-05, 0.0571418, 0.00020671, 0.00040195, 1.597e-05, 0.00522218,,, 0.0145879, 0.0001418, 0.00012829, 0.0253848, 0.223628, 0.00306008, 3.162e-05, 3.186e-05, 0.00463507, 0.0417767, 3.075e-05, 0.00017218, 0.00064621, 6.62e-06, 6.62e-06, 0.00041556, 0.00360947, 4.876e-05,,, 0.0013387, 0.0011195, 0.00029039, 0.00025302,,, 8.812e-05, 0.00047014, 1.863e-05, 4.99e-05,, 0.00075552, 0.00036896, 0.00286667, 0.00015169, 3.647e-05, 0.00027874,, 0.00040314, 4.061e-05, 0.00529351, 9.787e-05, 1.014e-05,,, 0.00081088, 0.00068092, 0.0132931, 0.00020952,, 3.12e-05, 1.374e-05,,, 3.842e-05, 4.65e-06,, 6.808e-05, 2.85e-06, 1.611e-05,, 2.182e-05, 2.97e-06,,, 3.604e-05,, 1.96e-06, 1.3e-07, 2.72e-06,,,,
80,, 0.280731, 0.475791, 0.0525591, 0.10172, 0.0013561, 0.0016588, 0.01239, 0.0242651, 0.00035239, 0.00043014, 0.00286281, 0.00562191, 3.759e-05, 4.44e-05,,, 0.0289369, 0.0328029, 0.00099095, 0.00148369, 0.00736307, 0.00902656, 0.00014918, 0.00023523, 0.00135989, 0.00162369, 1.482e-05, 2.293e-05,,, 0.00810577, 0.00031596, 0.299143, 0.00206932, 8.621e-05, 0.0597505, 0.000228, 0.00042578, 1.719e-05, 0.00619976, 4.116e-05,, 0.015016, 0.00014959, 0.00013531, 0.0261959, 0.230739, 0.00321879, 3.361e-05, 3.404e-05, 0.00482529, 0.0435509, 3.404e-05, 0.00019044, 0.00068594, 7.03e-06, 7.11e-06, 0.00048996, 0.00428479, 6.35e-05,,, 0.00142626, 0.00116024, 0.00031101, 0.00026557,,, 8.944e-05, 0.00047726, 1.917e-05, 5.774e-05, 1.8e-06, 0.00078623, 0.00038408, 0.00297665, 0.00016103, 4.305e-05, 0.00032918, 1.534e-05, 0.00041142, 4.101e-05, 0.00589643, 0.00010072, 1.034e-05,,, 0.0007862, 0.00071573, 0.0139778, 0.000198,, 3.319e-05, 1.393e-05,,, 3.939e-05, 5.64e-06, 3.81e-06, 6.338e-05, 3.12e-06, 1.766e-05, 6.09e-06, 2.396e-05, 3.22e-06,,, 3.792e-05,, 3.23e-06, 2.1e-07, 4.45e-06,,, 1.5e-07, 1.2e-07
81,, 0.281469, 0.474849, 0.0526839, 0.10199, 0.0013975, 0.0017004, 0.012489, 0.0245019, 0.00036736, 0.00044618, 0.00289499, 0.00564679, 4.356e-05, 5.14e-05,,, 0.0306439, 0.0340989, 0.0010775, 0.00161289, 0.00783957, 0.00947767, 0.00016389, 0.00025885, 0.00149219, 0.00176339, 1.792e-05, 2.785e-05,,, 0.00838444, 0.00033548, 0.308781, 0.00215241, 9.232e-05, 0.0623623, 0.00025045, 0.00045083, 1.85e-05, 0.00711523, 5.231e-05,, 0.0154549, 0.00015771, 0.00014264, 0.0270068, 0.237828, 0.00338207, 3.565e-05, 3.633e-05, 0.00501666, 0.0453096, 3.754e-05, 0.00020975, 0.00072767, 7.45e-06, 7.63e-06, 0.00056439, 0.00496856, 8.15e-05,,, 0.00149081, 0.00117801, 0.00032717, 0.00027388,,, 9.093e-05, 0.00048467, 1.973e-05, 6.438e-05, 2.24e-06, 0.00081894, 0.00039979, 0.00308967, 0.00017092, 4.965e-05, 0.0003806, 1.949e-05, 0.00040851, 4.095e-05, 0.00627108, 0.00010084, 1.026e-05,,, 0.00077582, 0.00076351, 0.0149151, 0.00019246,, 3.519e-05, 1.414e-05,,, 4.029e-05, 6.61e-06, 4.69e-06, 6.559e-05, 3.65e-06, 2.097e-05, 7.55e-06, 2.618e-05, 3.47e-06,,, 4.106e-05,, 5.02e-06, 3.3e-07, 6.92e-06,,, 2.4e-07, 1.6e-07
82,, 0.282159, 0.473888, 0.0527888, 0.10225, 0.00143899, 0.00174159, 0.0125889, 0.0247379, 0.00038256, 0.0004623, 0.00292719, 0.00567158, 4.956e-05, 5.791e-05, 6.575e-05,, 0.0330911, 0.0361361, 0.0011947, 0.0017878, 0.00851602, 0.010138, 0.00018358, 0.00029047, 0.0016682, 0.0019511, 2.141e-05, 3.345e-05, 4.519e-05,, 0.00866321, 0.0003555, 0.318407, 0.00223628, 9.871e-05, 0.0650193, 0.00027413, 0.000477, 1.989e-05, 0.00804632, 6.19e-05,, 0.0159011, 0.00016706, 0.00015102, 0.0278162, 0.244872, 0.00355203, 3.778e-05, 3.871e-05, 0.00521024, 0.0471253, 4.127e-05, 0.0002304, 0.00077146, 7.91e-06, 8.18e-06, 0.0006355, 0.00563074, 9.743e-05, 1.9e-07,, 0.00158009, 0.0012128, 0.00034947, 0.00028686, 9.26e-06,, 9.162e-05, 0.00048739, 2.011e-05, 7.098e-05, 2.57e-06, 0.00085425, 0.00041644, 0.00321034, 0.00018146, 5.638e-05, 0.00043178, 2.311e-05, 0.00040746, 4.075e-05, 0.00663705, 0.00010054, 1.013e-05, 1.48e-06,, 0.00076443, 0.00081067, 0.0158459, 0.00018684,, 3.706e-05, 1.431e-05, 1.12e-06,, 4.099e-05, 7.55e-06, 5.36e-06, 6.823e-05, 4.21e-06, 2.453e-05, 8.74e-06, 2.871e-05, 3.76e-06, 5.6e-07,, 4.383e-05,, 7.44e-06, 4.9e-07, 1.022e-05, 3e-08,, 3.6e-07, 2.3e-07
83,, 0.28281, 0.47291, 0.0528821, 0.10249, 0.0014803, 0.001782, 0.01268, 0.02498, 0.00039803, 0.00047858, 0.0029594, 0.00569621, 5.543e-05, 6.516e-05, 0.00011986,, 0.034607, 0.037055, 0.0012821, 0.0019179, 0.0089566, 0.010499, 0.00019911, 0.00031549, 0.0018035, 0.0020858, 2.489e-05, 3.912e-05, 8.6e-05,, 0.00894229, 0.0003762, 0.32782, 0.00232, 0.00010537, 0.0676889, 0.00029905, 0.00050437, 2.138e-05, 0.00899449, 7.124e-05,, 0.0163541, 0.00017669, 0.00015965, 0.0286032, 0.251881, 0.00372472, 3.993e-05, 4.118e-05, 0.00540263, 0.0489093, 4.521e-05, 0.00025219, 0.00081727, 8.38e-06, 8.77e-06, 0.00070684, 0.00629773, 0.00011328, 3.7e-07,, 0.00167191, 0.00124441, 0.00037351, 0.00030014, 1.775e-05,, 9.204e-05, 0.00048831, 2.064e-05, 7.661e-05, 2.87e-06, 0.00089212, 0.000434, 0.00333684, 0.00019322, 6.31e-05, 0.00048434, 2.672e-05, 0.00040779, 4.05e-05, 0.00700678, 0.00010011, 1e-05, 2.81e-06,, 0.00075903, 0.00085878, 0.0167826, 0.00018243,, 3.908e-05, 1.447e-05, 2.09e-06,, 4.189e-05, 8.46e-06, 5.96e-06, 7.129e-05, 4.81e-06, 2.82e-05, 9.89e-06, 3.133e-05, 4.04e-06, 1.14e-06,, 4.746e-05,, 1.054e-05, 7e-07, 1.452e-05, 7e-08,, 5.1e-07, 3.4e-07
84,, 0.283449, 0.471838, 0.0529628, 0.10277, 0.00152239, 0.00182179, 0.0127699, 0.0252079, 0.00041386, 0.00049497, 0.00299139, 0.00575316, 6.142e-05, 7.212e-05, 0.00018578, 0.00030638, 0.0365129, 0.0383129, 0.00138799, 0.00207579, 0.00949787, 0.010963, 0.00021779, 0.0003456, 0.00196419, 0.00224479, 2.895e-05, 4.574e-05, 0.00014058, 0.00013765, 0.00922361, 0.00039763, 0.33716, 0.0024058, 0.00011228, 0.0703941, 0.00032516, 0.00053506, 2.319e-05, 0.00995871, 8.072e-05, 1.41e-06, 0.0168141, 0.0001865, 0.00016866, 0.0293981, 0.258731, 0.00390222, 4.215e-05, 4.376e-05, 0.00559743, 0.0507262, 4.939e-05, 0.00027519, 0.00087349, 8.87e-06, 9.39e-06, 0.00077905, 0.00697283, 0.00012958, 6e-07, 5.4e-07, 0.00176509, 0.0012728, 0.00040141, 0.00031359, 2.889e-05, 1.949e-05, 9.235e-05, 0.00048793, 2.113e-05, 8.191e-05, 3.14e-06, 0.00093198, 0.00045222, 0.0034678, 0.00020566, 6.999e-05, 0.00053826, 3.043e-05, 0.00040385, 3.983e-05, 0.00729781, 9.923e-05, 9.82e-06, 4.47e-06, 3.8e-07, 0.00076472, 0.00091266, 0.0178443, 0.00018051, 7.19e-06, 4.093e-05, 1.448e-05, 3.29e-06, 1.14e-06, 4.261e-05, 9.3e-06, 6.49e-06, 7.392e-05, 5.41e-06, 3.181e-05, 1.097e-05, 3.378e-05, 4.29e-06, 1.94e-06, 2.1e-07, 5.163e-05, 2.52e-06, 1.439e-05, 9.5e-07, 1.997e-05, 1.3e-07,, 7e-07, 5.1e-07
85,, 0.28413, 0.47078, 0.053045, 0.10292, 0.0015639, 0.0018617, 0.01285, 0.025442, 0.00042992, 0.00051155, 0.0030233, 0.00581, 6.756e-05, 7.911e-05, 0.00026321, 0.00044185, 0.038209, 0.03927, 0.0014898, 0.0022277, 0.0099961, 0.011347, 0.00023619, 0.0003754, 0.002118, 0.0023911, 3.317e-05, 5.266e-05, 0.00020815, 0.00020378, 0.00950116, 0.00041944, 0.346269, 0.00249089, 0.00011954, 0.0730847, 0.0003523, 0.00056887, 2.512e-05, 0.010933, 9.037e-05, 2.14e-06, 0.0172798, 0.0001965, 0.0001778, 0.0301666, 0.265507, 0.00408365, 4.438e-05, 4.642e-05, 0.00578833, 0.0525234, 5.377e-05, 0.00029918, 0.00093152, 9.39e-06, 1.004e-05, 0.00085147, 0.00765211, 0.0001466, 8.9e-07, 8.1e-07, 0.0018607, 0.0012981, 0.00043084, 0.00032734, 4.289e-05, 2.86e-05, 9.189e-05, 0.00048336, 2.144e-05, 8.623e-05, 3.38e-06, 0.00097552, 0.00047201, 0.00361, 0.00021915, 7.732e-05, 0.00059496, 3.437e-05, 0.00039877, 3.885e-05, 0.00751316, 9.788e-05, 9.56e-06, 6.44e-06, 5.5e-07, 0.00077426, 0.00097228, 0.0190173, 0.00018206, 1.077e-05, 4.277e-05, 1.446e-05, 4.73e-06, 1.61e-06, 4.33e-05, 1.009e-05, 6.99e-06, 7.621e-05, 5.98e-06, 3.533e-05, 1.199e-05, 3.632e-05, 4.55e-06, 2.98e-06, 3.2e-07, 5.615e-05, 3.98e-06, 1.912e-05, 1.26e-06, 2.672e-05, 2.3e-07, 1e-08, 9.2e-07, 7.6e-07
86,, 0.284828, 0.469587, 0.0531046, 0.103169, 0.00160619, 0.00190129, 0.0129309, 0.0256678, 0.00044619, 0.00052814, 0.00305528, 0.00586666, 7.381e-05, 8.617e-05, 0.00035166, 0.00059761, 0.0400399, 0.0402679, 0.001601, 0.00239269, 0.010526, 0.011749, 0.00025646, 0.00040818, 0.00228359, 0.00254459, 3.783e-05, 6.029e-05, 0.00029115, 0.00028328, 0.00977885, 0.00044187, 0.355292, 0.00257791, 0.00012701, 0.0757814, 0.00038065, 0.00060437, 2.742e-05, 0.0119291, 0.00010027, 3.05e-06, 0.017848, 0.00020679, 0.00018711, 0.0309219, 0.272069, 0.00426739, 4.665e-05, 4.915e-05, 0.00597738, 0.0543029, 5.836e-05, 0.00032438, 0.00099134, 9.92e-06, 1.073e-05, 0.00092404, 0.00833349, 0.0001641, 1.24e-06, 1.16e-06, 0.00195671, 0.00131931, 0.00046368, 0.00034343, 5.993e-05, 3.926e-05, 9.155e-05, 0.00047864, 2.174e-05, 9.018e-05, 3.61e-06, 0.00101999, 0.00049173, 0.00375195, 0.00023307, 8.473e-05, 0.0006522, 3.846e-05, 0.00038894, 3.738e-05, 0.00757627, 9.47e-05, 9.14e-06, 8.58e-06, 7.3e-07, 0.00078704, 0.00103791, 0.0202992, 0.00018438, 1.518e-05, 4.447e-05, 1.433e-05, 6.39e-06, 2.11e-06, 4.408e-05, 1.085e-05, 7.45e-06, 7.826e-05, 6.54e-06, 3.874e-05, 1.298e-05, 3.93e-05, 4.85e-06, 4.34e-06, 4.6e-07, 6.057e-05, 5.84e-06, 2.477e-05, 1.63e-06, 3.485e-05, 3.8e-07, 1e-08, 1.18e-06, 1.13e-06
87,, 0.285481, 0.468502, 0.0531692, 0.10333, 0.00164941, 0.00194061, 0.01301, 0.0258971, 0.00046276, 0.00054481, 0.00309051, 0.00593622, 8.037e-05, 9.351e-05, 0.00043221, 0.00073999, 0.0422069, 0.0415149, 0.0017301, 0.00258449, 0.011153, 0.012234, 0.00027998, 0.00044646, 0.00247419, 0.00271909, 4.326e-05, 6.923e-05, 0.00037325, 0.00036244, 0.01005, 0.00046463, 0.36401, 0.0026629, 0.00013468, 0.078455, 0.00040991, 0.00063558, 2.984e-05, 0.01295, 0.00011336, 3.98e-06, 0.0184281, 0.00021726, 0.00019666, 0.0316611, 0.278451, 0.00445431, 4.894e-05, 5.196e-05, 0.00616542, 0.0560822, 6.318e-05, 0.00035077, 0.0010531, 1.048e-05, 1.145e-05, 0.00099841, 0.00903953, 0.00018748, 1.51e-06, 1.5e-06, 0.00205901, 0.0013399, 0.00049911, 0.00035976, 7.34e-05, 4.934e-05, 9.055e-05, 0.00047039, 2.19e-05, 9.333e-05, 3.91e-06, 0.00106366, 0.00051137, 0.0038886, 0.00024707, 9.234e-05, 0.00071133, 4.233e-05, 0.00039304, 3.745e-05, 0.00792727, 9.51e-05, 9.04e-06, 1.04e-05, 9.2e-07, 0.00078924, 0.00108977, 0.0213246, 0.00018421, 1.93e-05, 4.665e-05, 1.43e-05, 7.64e-06, 2.56e-06, 4.425e-05, 1.141e-05, 7.81e-06, 8.008e-05, 7.1e-06, 4.214e-05, 1.387e-05, 4.248e-05, 5.17e-06, 5.5e-06, 6.1e-07, 6.559e-05, 7.84e-06, 3.154e-05, 2.06e-06, 4.445e-05, 5.3e-07, 1e-08, 1.48e-06, 1.63e-06
88,, 0.286148, 0.467317, 0.0532217, 0.103579, 0.00169219, 0.00197859, 0.0130879, 0.0261248, 0.00047969, 0.00056161, 0.00312578, 0.00604326, 8.714e-05, 0.00010109, 0.0004908, 0.00086144, 0.0433931, 0.0416861, 0.001822, 0.0027207, 0.011517, 0.012407, 0.0002979, 0.0004754, 0.0026099, 0.00282751, 4.805e-05, 7.721e-05, 0.00044568, 0.00043309, 0.00993459, 0.00046969, 0.35864, 0.0026458, 0.00013729, 0.078102, 0.0004238, 0.00064244, 3.119e-05, 0.013479, 0.00012235, 4.69e-06, 0.0190201, 0.00022779, 0.00020636, 0.0323722, 0.284672, 0.00464402, 5.124e-05, 5.486e-05, 0.00634933, 0.0578233, 6.82e-05, 0.00037813, 0.00111671, 1.12e-05, 1.222e-05, 0.00107401, 0.00975435, 0.00021224, 1.78e-06, 1.83e-06, 0.0021665, 0.0013589, 0.0005367, 0.000376, 8.718e-05, 5.825e-05, 9.62e-05, 0.00049598, 2.367e-05, 0.00010331, 4.51e-06, 0.00107658, 0.00051492, 0.00390742, 0.00025388, 9.724e-05, 0.00074894, 4.514e-05, 0.00041523, 3.923e-05, 0.00867623, 0.00010062, 9.36e-06, 1.282e-05, 1.14e-06, 0.00079061, 0.00113161, 0.0221483, 0.00018499, 2.283e-05, 4.988e-05, 1.45e-05, 9.04e-06, 2.98e-06, 3.259e-05, 8.74e-06, 6.02e-06, 8.192e-05, 7.67e-06, 4.556e-05, 1.476e-05, 4.353e-05, 5.23e-06, 6.44e-06, 7.3e-07, 7.047e-05, 9.8e-06, 3.894e-05, 2.54e-06, 5.512e-05, 7.1e-07, 2e-08, 1.76e-06, 2.25e-06
89,, 0.286898, 0.466207, 0.0532646, 0.103729, 0.00173589, 0.00201729, 0.0131559, 0.0263428, 0.0004968, 0.0005784, 0.00316098, 0.00615126, 9.405e-05, 0.00010864, 0.00053306, 0.00095656, 0.0456809, 0.0428469, 0.00196559, 0.00293369, 0.012182, 0.012879, 0.00032472, 0.000519, 0.00281749, 0.00300689, 5.448e-05, 8.785e-05, 0.00049959, 0.00049734, 0.010213, 0.00049327, 0.367091, 0.00273141, 0.00014543, 0.0807702, 0.00045447, 0.00067426, 3.383e-05, 0.014516, 0.00013527, 5.23e-06, 0.0196259, 0.00023857, 0.00021629, 0.0330698, 0.290678, 0.00483686, 5.354e-05, 5.783e-05, 0.00653045, 0.0595616, 7.343e-05, 0.00040664, 0.00118179, 1.192e-05, 1.317e-05, 0.00114959, 0.0104739, 0.00023484, 2.03e-06, 2.13e-06, 0.00227979, 0.0013756, 0.00057614, 0.00039203, 0.00010062, 6.581e-05, 9.741e-05, 0.00049781, 2.435e-05, 0.00010845, 4.82e-06, 0.00112001, 0.00053358, 0.00403525, 0.00026802, 0.00010484, 0.00080786, 4.935e-05, 0.00042085, 3.943e-05, 0.00905549, 0.00010213, 9.3e-06, 1.465e-05, 1.29e-06, 0.00080182, 0.00118208, 0.0231348, 0.00018746, 2.609e-05, 5.279e-05, 1.45e-05, 1.03e-05, 3.27e-06, 3.293e-05, 9.11e-06, 6.25e-06, 8.304e-05, 8.15e-06, 4.854e-05, 1.56e-05, 4.715e-05, 5.59e-06, 7.7e-06, 8.6e-07, 7.592e-05, 1.176e-05, 4.826e-05, 3.14e-06, 6.868e-05, 9.3e-07, 2e-08, 2.12e-06, 3.07e-06
